Serial Number,Start Time,Event Type,Bump?,H2S Peak (ppm),CO Peak (ppm),O2 Peak (%Vol),LEL Peak (%LEL),Duration,Device Status,
KA418-1128160,2018-05-15 14:36:14,Low Alarm ,No,2.0,5.7,20.9,0.0,40,Active,
KA418-1128160,2018-05-15 14:42:53,Low Alarm ,No,2.0,6.7,20.9,0.0,46,Active,
KA418-1128160,2018-05-15 14:56:13,Low Alarm ,No,1.8,5.8,20.9,0.0,16,Active,
KA418-1128160,2018-05-15 15:02:30,Low Alarm ,No,1.6,7.6,20.9,0.0,27,Active,
KA418-1128160,2018-05-15 15:09:42,Low Alarm ,No,1.6,6.7,20.9,0.0,19,Active,
KA418-1128809,2018-05-18 17:52:03,Low Alarm ,No,0.0,0.0,20.1,0.0,4,Active,
KA418-1128809,2018-05-21 10:57:14,Low Alarm ,No,0.0,0.0,20.4,0.0,7,Active,
KA418-1128809,2018-05-18 17:44:42,Low Alarm ,No,1.7,0.0,20.9,0.0,12,Active,
KA418-1128141,2018-05-21 09:31:40,Low Alarm ,No,2.0,5.9,20.9,0.0,36,Active,
KA418-1128141,2018-05-21 09:38:35,Low Alarm ,No,2.0,5.8,20.9,0.0,48,Active,
KA418-1128141,2018-05-21 09:46:34,Low Alarm ,No,1.8,6.7,20.9,0.0,17,Active,
KA418-1128160,2018-05-21 10:20:35,Low Alarm ,No,1.6,0.0,20.9,0.0,2,Active,
KA418-1128160,2018-05-21 10:26:31,Low Alarm ,No,1.6,0.0,20.9,0.0,1,Active,
KA418-1128160,2018-05-21 10:33:07,Low Alarm ,No,1.8,4.7,20.9,0.0,26,Active,
KA418-1128160,2018-05-21 10:39:59,Low Alarm ,No,1.8,5.7,20.9,0.0,25,Active,
KA418-1128160,2018-05-21 10:47:29,Low Alarm ,No,2.1,6.6,20.9,0.0,58,Active,
KA418-1128809,2018-05-21 11:02:04,Low Alarm ,No,1.6,0.0,20.9,0.0,21,Active,
KA418-1128809,2018-05-21 11:07:41,Low Alarm ,No,1.8,0.0,20.9,0.0,29,Active,
KA418-1128809,2018-05-21 11:14:15,Low Alarm ,No,1.6,0.0,20.9,0.0,19,Active,
KA418-1128809,2018-05-21 11:19:36,Low Alarm ,No,2.0,5.5,20.9,0.0,40,Active,
KA418-1128809,2018-05-21 11:27:23,Low Alarm ,No,1.6,4.6,20.9,0.0,35,Active,
KA418-1128814,2018-05-21 11:36:07,Low Alarm ,No,1.7,0.0,20.5,0.0,42,Active,
KA418-1128814,2018-05-21 11:42:23,Low Alarm ,No,1.9,0.0,20.9,0.0,60,Active,
KA418-1128814,2018-05-21 11:48:08,Low Alarm ,No,1.7,0.0,20.9,0.0,39,Active,
KA418-1128814,2018-05-21 11:53:46,Low Alarm ,No,1.6,0.0,20.9,0.0,22,Active,
KA418-1128141,2018-05-21 13:37:29,Low Alarm ,No,1.6,0.0,20.9,0.0,11,Active,
KA418-1128809,2018-05-21 13:49:58,Low Alarm ,No,1.8,0.0,20.9,0.0,37,Active,
KA418-1128814,2018-05-21 13:56:09,Low Alarm ,No,1.9,0.0,20.9,0.0,34,Active,
KA418-1128141,2018-05-21 13:58:07,Low Alarm ,No,0.0,0.0,20.4,0.0,1,Active,
KA418-1128141,2018-05-21 14:02:23,Low Alarm ,No,2.0,5.1,20.5,0.0,52,Active,
KA418-1128160,2018-05-21 14:08:52,Low Alarm ,No,2.1,4.7,20.9,0.0,46,Active,
KA418-1128809,2018-05-21 14:14:57,Low Alarm ,No,2.0,0.0,20.9,0.0,47,Active,
KA418-1128814,2018-05-21 14:21:16,Low Alarm ,No,1.9,5.1,20.9,0.0,44,Active,
KA418-1128141,2018-05-21 14:27:52,Low Alarm ,No,2.1,0.0,20.5,0.0,57,Active,
KA418-1128141,2018-05-21 14:23:53,Low Alarm ,No,0.0,0.0,20.3,0.0,1,Active,
KA418-1128160,2018-05-21 14:34:14,Low Alarm ,No,1.8,5.7,20.9,0.0,56,Active,
KA418-1128809,2018-05-21 14:42:49,Low Alarm ,No,0.0,0.0,20.4,0.0,3,Active,
KA418-1128809,2018-05-21 14:41:00,Low Alarm ,No,2.0,5.4,20.9,0.0,45,Active,
KA418-1128814,2018-05-21 14:46:57,Low Alarm ,No,2.1,5.1,20.9,0.0,50,Active,
KA418-1128141,2018-05-21 14:59:34,Low Alarm ,No,0.0,0.0,20.4,0.0,1,Active,
KA418-1128141,2018-05-21 15:04:00,Low Alarm ,No,1.8,5.0,20.5,0.0,29,Active,
KA418-1128160,2018-05-21 15:09:52,Low Alarm ,No,1.9,5.6,20.9,0.0,55,Active,
KA418-1128809,2018-05-21 15:16:53,Low Alarm ,No,2.0,5.4,20.9,0.0,47,Active,
KA418-1128814,2018-05-21 15:23:43,Low Alarm ,No,1.9,5.9,20.9,0.0,54,Active,
KA418-1128141,2018-05-25 17:00:28,High Alarm ,No,0.0,0.0,20.9,9999.9,14,Active,
KA418-1128141,2018-05-25 17:35:37,Multi Alarm ,No,0.0,0.0,20.0,9999.9,97,Active,
KA418-1128141,2018-05-25 17:51:55,Low Alarm ,No,0.0,0.0,20.4,0.0,6,Active,
KA418-1128141,2018-05-25 16:43:25,High Alarm ,No,0.0,0.0,20.9,9999.9,16,Active,
KA418-1128141,2018-05-25 16:46:30,High Alarm ,No,0.0,0.0,--,9999.9,41,Active,
KA418-1128141,2018-05-25 16:47:45,High Alarm ,No,0.0,0.0,--,9999.9,12,Active,
KA418-1128141,2018-05-25 16:48:18,High Alarm ,No,0.0,0.0,--,32.1,11,Active,
KA418-1128141,2018-05-25 16:49:33,High Alarm ,No,0.0,0.0,--,9999.9,24,Active,
KA418-1128141,2018-05-25 16:54:17,High Alarm ,No,0.0,0.0,--,9999.9,15,Active,
KA418-1128141,2018-05-25 16:55:23,High Alarm ,No,0.0,0.0,--,29.9,18,Active,
KA418-1128160,2018-05-25 15:56:38,High Alarm ,No,0.0,0.0,19.8,44.4,13,Active,
KA418-1128160,2018-05-25 15:57:14,High Alarm ,No,0.0,0.0,20.9,9999.9,97,Active,
KA418-1128160,2018-05-28 09:03:16,Low Alarm ,No,0.0,0.0,20.9,17.2,112,Active,
KA418-1128160,2018-05-28 09:05:43,Low Alarm ,No,0.0,0.0,20.9,16.2,60,Active,
KA418-1128160,2018-05-28 09:07:32,Low Alarm ,No,0.0,0.0,20.9,16.0,8,Active,
KA418-1128160,2018-05-28 09:08:42,Low Alarm ,No,0.0,0.0,20.9,15.8,24,Active,
KA418-1128160,2018-05-28 09:30:39,Low Alarm ,No,0.0,0.0,20.9,16.0,5,Active,
KA418-1128160,2018-05-28 09:48:36,Low Alarm ,No,0.0,0.0,--,15.8,58,Active,
KA418-1128160,2018-05-25 15:53:26,Low Alarm ,No,0.0,0.0,20.1,16.2,5,Active,
KA418-1128160,2018-05-25 15:54:14,Low Alarm ,No,1.8,0.0,20.9,4.7,6,Active,
KA418-1128160,2018-05-28 09:52:37,Multi Alarm ,Yes,11.3,94.0,18.1,44.4,16,Active,
KA418-1128160,2018-05-28 10:28:22,Low Alarm ,Yes,12.5,93.0,18.3,42.0,14,Active,
KA418-1128160,2018-05-28 14:55:28,Low Alarm ,No,1.9,5.5,20.9,0.0,11,Active,
KA415-1030815,2018-05-17 16:17:43,Low Alarm ,No,0.0,0.0,20.4,0.0,2,Active,
KA415-1030815,2018-05-23 10:25:43,Low Alarm ,No,0.0,0.0,20.3,0.0,1651,Active,
KA415-1030815,2018-05-28 15:22:25,Low Alarm ,No,0.0,0.0,19.2,0.0,20,Active,
KA418-1128141,2018-05-28 15:25:30,Multi Alarm ,No,6.7,0.0,9.5,0.0,20,Active,
KA418-1128141,2018-05-28 15:31:25,Multi Alarm ,No,0.0,76.2,5.2,0.0,28,Active,
KA418-1128141,2018-05-28 15:46:14,Low Alarm ,No,0.0,0.0,20.4,0.0,3,Active,
KA418-1128141,2018-05-28 16:52:46,Low Alarm ,No,0.0,0.0,19.5,0.0,1,Active,
KA418-1128141,2018-05-28 17:21:13,Multi Alarm ,No,-4.4,0.0,20.1,0.0,28,Active,
KA418-1128141,2018-05-28 14:05:15,High Alarm ,No,--,--,--,50.0,13,Active,
KA418-1128141,2018-05-28 14:27:01,Multi Alarm ,No,0.0,0.0,19.9,50.1,18,Active,
KA418-1128141,2018-05-28 14:45:48,Multi Alarm ,No,0.0,0.0,20.1,50.0,26,Active,
KA418-1128141,2018-05-28 15:14:33,Multi Alarm ,No,25.2,0.0,0.7,9999.9,79,Active,
KA418-1128141,2018-05-28 15:16:50,Low Alarm ,No,0.0,0.0,20.4,0.0,31,Active,
KA418-1128141,2018-05-28 17:33:26,Low Alarm ,No,0.0,0.0,20.4,0.0,1,Active,
KA418-1128141,2018-05-28 17:42:05,Multi Alarm ,No,25.2,100.1,17.3,50.3,22,Active,
KA418-1128809,2018-05-23 15:05:59,Low Alarm ,No,2.0,0.0,20.5,0.0,89,Active,
KA418-1128809,2018-05-23 15:07:50,Low Alarm ,No,1.4,0.0,20.4,0.0,29,Active,
KA418-1128809,2018-05-23 15:33:26,Low Alarm ,No,2.0,0.0,20.5,0.0,57,Active,
KA418-1128809,2018-05-23 15:56:46,Low Alarm ,No,2.0,5.3,20.5,0.0,79,Active,
KA418-1128809,2018-05-23 16:01:10,Low Alarm ,No,0.0,0.0,20.3,0.0,1,Active,
KA418-1128809,2018-05-23 16:23:06,Low Alarm ,No,1.8,5.4,20.9,0.0,34,Active,
KA418-1128809,2018-05-23 16:23:59,Low Alarm ,No,1.6,0.0,20.9,0.0,1,Active,
KA418-1128809,2018-05-23 16:49:53,Low Alarm ,No,2.2,6.3,20.5,3.7,91,Active,
KA418-1128809,2018-05-28 09:13:03,Multi Alarm ,No,1.2,20.8,20.4,16.2,5,Active,
KA418-1128809,2018-05-28 09:14:30,Low Alarm ,No,0.0,0.0,20.4,0.0,9,Active,
KA418-1128809,2018-05-29 13:44:17,Multi Alarm ,Yes,15.5,86.5,18.3,43.9,12,Active,
KA418-1128141,2018-05-29 13:56:02,Low Alarm ,No,0.0,0.0,20.4,0.0,1,Active,
KA418-1128809,2018-05-29 14:06:15,Low Alarm ,No,0.0,0.0,20.4,0.0,1,Active,
KA418-1128141,2018-05-29 14:19:00,Multi Alarm ,No,2.2,10.9,--,6.1,11,Active,
KA418-1128809,2018-05-29 14:21:57,Multi Alarm ,No,1.6,10.9,--,5.9,1,Active,
KA418-1128141,2018-05-29 14:27:44,Low Alarm ,No,0.0,10.1,--,5.4,1,Active,
KA418-1128141,2018-05-29 14:34:31,Low Alarm ,No,0.0,0.0,20.4,0.0,1,Active,
KA418-1128141,2018-05-29 14:45:46,Low Alarm ,No,0.0,0.0,20.4,0.0,1,Active,
KA418-1128809,2018-05-29 14:54:03,Multi Alarm ,Yes,17.4,88.3,18.4,47.1,12,Active,
KA418-1128141,2018-05-29 15:27:11,Multi Alarm ,No,3.1,10.1,20.9,0.0,1,Active,
KA418-1128809,2018-05-29 15:28:20,Multi Alarm ,No,1.6,11.9,--,5.5,2,Active,
KA418-1128141,2018-05-29 15:30:12,Multi Alarm ,No,1.8,11.0,--,6.5,2,Active,
KA418-1128809,2018-05-29 15:35:31,Low Alarm ,Yes,15.7,86.6,18.4,47.1,12,Active,
KA418-1128809,2018-05-29 15:46:25,Multi Alarm ,No,25.4,100.0,--,50.6,188,Active,
KA418-1128141,2018-05-29 15:38:25,Multi Alarm ,No,16.1,86.0,--,41.5,7,Active,
KA418-1128141,2018-05-30 11:00:31,Multi Alarm ,No,0.0,0.0,0.0,9999.9,149,Active,
KA418-1128141,2018-05-30 11:11:32,Multi Alarm ,No,0.0,0.0,0.7,9999.9,182,Active,
KA418-1128141,2018-05-30 11:14:51,Multi Alarm ,No,0.0,0.0,0.9,9999.9,40,Active,
KA418-1128141,2018-05-30 11:17:03,Multi Alarm ,No,0.0,0.0,0.0,9999.9,395,Active,
KA418-1128141,2018-05-30 11:24:31,Multi Alarm ,No,0.0,0.0,0.0,9999.9,492,Active,
KA418-1128141,2018-05-30 11:36:26,Multi Alarm ,No,0.0,0.0,0.9,9999.9,121,Active,
KA418-1128141,2018-05-29 16:46:17,Low Alarm ,No,0.0,0.0,20.0,0.0,2,Active,
KA418-1128141,2018-05-29 16:56:11,Low Alarm ,No,0.0,0.0,20.4,0.0,5,Active,
KA418-1128141,2018-05-29 17:21:42,Low Alarm ,No,0.0,0.0,19.6,0.0,15,Active,
KA418-1128141,2018-05-29 17:22:24,Low Alarm ,No,0.0,0.0,19.3,0.0,33,Active,
KA418-1128809,2018-05-29 16:54:46,Low Alarm ,No,0.0,0.0,20.3,0.0,18,Active,
KA418-1128809,2018-05-29 17:21:30,Low Alarm ,No,0.0,0.0,19.7,0.0,13,Active,
KA418-1128809,2018-05-29 17:22:11,Low Alarm ,No,0.0,0.0,19.3,0.0,37,Active,
KA418-1128809,2018-05-29 15:57:02,Low Alarm ,No,1.6,0.0,20.9,0.0,2,Active,
KA418-1128809,2018-05-29 15:57:56,Multi Alarm ,No,16.4,94.5,--,44.6,8,Active,
KA418-1128809,2018-05-29 16:49:16,Low Alarm ,No,0.0,0.0,19.6,0.0,51,Active,
KA418-1128141,2018-05-30 13:15:17,Low Alarm ,No,0.0,0.0,20.3,0.0,1,Active,
KA418-1128141,2018-05-30 13:46:03,Low Alarm ,No,0.0,0.0,20.4,0.0,1,Active,
KA418-1128141,2018-05-30 13:47:56,Multi Alarm ,No,2.3,35.8,--,15.1,9,Active,
KA418-1128809,2018-05-30 14:02:45,Multi Alarm ,No,0.0,9.4,0.0,9999.9,112,Active,
KA418-1128809,2018-05-30 14:05:02,Multi Alarm ,No,0.0,0.0,0.0,9999.9,85,Active,
KA418-1128809,2018-05-30 14:07:11,Multi Alarm ,No,0.0,0.0,0.0,9999.9,60,Active,
KA418-1128141,2018-05-30 14:13:36,Multi Alarm ,No,1.4,31.6,--,13.7,7,Active,
KA418-1128809,2018-05-30 14:22:14,Multi Alarm ,No,7.0,70.1,--,32.8,8,Active,
KA418-1128141,2018-05-30 14:31:38,Multi Alarm ,No,6.8,82.6,--,37.0,7,Active,
KA418-1128809,2018-05-30 14:33:25,Low Alarm ,No,0.0,10.4,20.9,0.0,1,Active,
KA418-1128809,2018-05-30 14:34:06,Multi Alarm ,No,13.9,88.8,--,41.5,8,Active,
